,text,label,llama_3_70b_zero_shot,llama_3_70b_zero_shot_alternative_prompt,llama_3_70b_few_shot_2_samples,llama_3_70b_cot
6046,"I was watching TV one day with a friend and we caught the last twenty minutes of ""Going Bananas."" Believe me when I say it was enough to get a good judgment of the film. The first scene that I saw was the monkey, the kid, the fat guy, and the black guy who looked like Dave Chappelle, flying around in a crop duster thousands of feet in the air. While everyone else was solemn about the journey, the monkey seemed to be on some kind of drug binge where he kept shouting something that resembled the English word faster. They then landed on a twenty yard long dock in Africa. After a heart felt goodbye where the monkey cried (Hahahaha), the ""villains"" of the film appeared. They were tearing complete ass in their vintage Cadillac when the evil monkey took an Air Jordan leap form the dock onto the boat that was sailing away a clean 40 yards away and made them sink their beautiful car into the Pacific Ocean. After seeing this film, I have a new purpose in life; to find the midget who played the monkey and stab him in the eye with a fountain pen.",Negative,Negative,negative,negative,"This review is a scathing critique of the film ""Going Bananas"". The reviewer's tone is sarcastic and mocking, with a clear disdain for the movie. They claim that the last 20 minutes of the film were enough to form a judgment, implying that the rest of the movie couldn't be any better. The reviewer ridicules the plot, characters, and action scenes, using phrases like ""Hahahaha"" and ""tearing complete ass"" to convey their amusement and disdain. They also express a desire to harm the actor who played the monkey, which is an exaggeration meant to emphasize their dislike for the film.

The reviewer's language is playful and humorous, but the underlying sentiment is overwhelmingly negative. They seem to be poking fun at the film's absurdity and lack of coherence, implying that it's a waste of time. The tone is lighthearted, but the criticism is severe, suggesting that the reviewer has no redeeming words for the movie.

Answer: Negative"
6047,"A good friend of mine one said: ""A monkey is funny, anytime, anywhere."" There is one exception to this: GOING BANANAS. It is quite simply the WORST MOVIE I have ever seen. It's worse than PLAN 9, worse than THE BEAST OF YUCCA FLATS. It is TERRIBLE. The talking monkey gag gets old after about three minutes, and believe me that's all there is. Make sure you have a bunch of people around to revive you after you go into TOXIC SHOCK from GOING BANANAS, the worst movie ever.",Negative,negative,negative,negative,"This review is an unbridled expression of disdain and disgust towards the film ""Going Bananas"". The reviewer's tone is sarcastic and hyperbolic, with phrases like ""the WORST MOVIE I have ever seen"" and ""the worst movie ever"" emphasizing their strong negative opinion. The comparison to infamous low-budget films like ""Plan 9"" and ""The Beast of Yucca Flats"" further reinforces the reviewer's belief that ""Going Bananas"" is a cinematic abomination. The reviewer's criticism focuses on the repetitive and unfunny use of a talking monkey gag, implying that the film's humor is shallow and quickly becomes tiresome.

The reviewer's use of dramatic language, such as ""TOXIC SHOCK"", adds to the comedic effect of the review, but also underscores the reviewer's genuine distaste for the film. The overall tone is one of ridicule and warning, with the reviewer cautioning potential viewers to avoid the film at all costs.

Answer: Negative"
6048,"I somehow failed for a few years to see this film, although it has been quite successful and generated a lot of discussions in Israel. I am sorry that I did not postpone indefinitely seeing it.<br /><br />The theme of 'Kadosh' is a very real and painful one for those who know the Jewish religious world - the place of women in the orthodox family and society. The basic situation that sits at the premises of the film is possible, the problem is that the way it is brought to screen and the 'solution' that the conflicts described receives in the movie is wrong. Gitai does not seem to have too much sympathy for men in the religious world, but his approach of picking characters that are either fanatic, or unable to express their human feeling makes the whole story seem simplistic. Neither does he a much better service to his women characters, although here at least he shows more sympathy and he also enjoys the participation of two beautiful and gifted actresses in Yael Abecassis and Meital Barda. Overall Gitai's vision is too one-sided, his cinema means are too basic, he focuses on the technical details of the Jewish religious life, which may be interesting for people who do not know them but are really not relevant at all in the context of the whole story. Starting from interesting premises what we get here is a boring film which seems longer than it is, with a very static way of acting, obsessive use of music that plays in the same register not only from a musical but also from an emotional perspective and a very inconclusive if not even confusing ending. What difference between this film and 'Ha Ushpizin' inspired from and describing the very same social landscape and which succeeded to transmit human feelings on the screen. In 'Kadosh' there are both too little cinema and too little human emotions.",Negative,negative,negative,negative,"This review is overwhelmingly negative, criticizing the film ""Kadosh"" for its simplistic and one-sided portrayal of the Orthodox Jewish community. The reviewer argues that the film's approach to exploring the theme of women's roles in Orthodox society is flawed, with poorly developed characters and an overly simplistic narrative. The reviewer specifically criticizes the film's portrayal of men as either fanatical or emotionally repressed, and women as one-dimensional characters. The reviewer also criticizes the film's technical aspects, such as the overuse of music and the static acting style, which makes the film feel longer than it is.

The reviewer's disappointment is further emphasized by comparing ""Kadosh"" unfavorably to another film, ""Ha Ushpizin"", which successfully conveyed human emotions and explored the same social landscape. The reviewer concludes that ""Kadosh"" lacks both cinematic flair and emotional resonance, resulting in a boring and inconclusive film.

Answer: Negative"
6049,"The one line summary is actually the punch line of a very old joke that begins ""what is a Jewish porno film?""<br /><br />While this film had its interesting moments, it was far too slow moving and did not do enough to explain to those of us in the audience unfamiliar with orthodox Jewish custom, exactly what was going on and why? How many people who came across this film would know that the bathtub the female characters were washing in is in reality called a ""Mikveh"" which is a ritual bath used to cleanse spiritual uncleanliness? The same question might be asked of why the bride was walked around the groom a dizzying number of times while her face was covered just prior to the marriage vows being performed. These two examples are but two of a large number of such moments that remained completely unexplained to the uninitiated audience.<br /><br />This film does have its touching moments along with expressions of great love and emotions. The characters are presented very authentically right down to the number of garments an ultra orthodox Jewish male must wear as well as the religious rituals he must engage in upon awakening in the morning to begin his day. The attitudes orthodox Judaism has towards women in general and wives in particular is both intriguing and at times maddening. This is another reason why more explanation is needed if this story is to be understood in context.<br /><br />I recommend this film to people who are familiar with orthodox Jewish tradition and ritual as well as those who might be interested in getting a brief peek at what the lives of people who practice this way of life is like.<br /><br />The story itself about two sisters who in their own ways rebel against ""the system"" is of moderate interest at best.",Negative,"Mixed, but leaning towards ""negative"".",Negative,negative,"This review is mixed, but leaning towards a negative perspective. The reviewer expresses frustration with the film's pacing, stating that it is ""far too slow moving."" They also criticize the film for not providing sufficient explanation of Orthodox Jewish customs and rituals, leaving audience members unfamiliar with these practices confused. The reviewer highlights specific examples, such as the use of a Mikveh (ritual bath) and the bride's circling of the groom, which are not adequately explained. This lack of context makes it difficult for viewers without prior knowledge of Orthodox Judaism to fully understand the story.

On the other hand, the reviewer acknowledges the film's authentic portrayal of Orthodox Jewish characters, including their attire and daily rituals. They also appreciate the exploration of the attitudes towards women in Orthodox Judaism, finding it both intriguing and, at times, maddening. The reviewer recommends the film to those familiar with Orthodox Jewish tradition or those interested in gaining insight into this way of life.

However, the reviewer's overall assessment of the story is lukewarm, describing it as being of ""moderate interest at best."" This, combined with the criticisms of pacing and lack of explanation, suggests that the reviewer's negative comments outweigh the positive aspects.

Answer: Negative"
6050,"Here is a film which clearly banks on being marketed as exotica to audiences unfamiliar with its subject matter.<br /><br />An attempted hybrid of fiction and document, ""Kadosh"" clumsily falls in between the chairs. As a documentary, on the one hand, it is neither accurate nor insightful. To realize its sloppy handling of detail, one needs to go no further than the opening scene where it is quite obvious that the ultra-orthodox protagonist does not know even so much as how to properly put on his t'filin. More generally, the tedious rote-style presentation of details (in this case of Jewish ultra-orthodox ritual) is the role of a manual, not of a good documentary; the latter should provide an organizing principle (a gestalt, if you will) for the viewer, so that she may emerge with a better understanding of the viewed. This clearly does not happen here, as ultra-orthodox ritual is being made even more enigmatic. The director seems to have done a decent job explaining it all verbally during the film's release campaign; cinematically, however, this is a severe case of stuttering. As a fiction-feature, on the other hand, it suffers from flatness of character, simplicity of plot and bluntness of message. At some points I felt I was watching a cartoon. (e.g. the wedding night consummation scene - without going in detail into angles, positions and dimensions ... well, technically this could not possibly be a realistic portrayal of human sex, savage as it may be.)<br /><br />There are no subtleties in this film. The clever manipulation of hints, stimulating the viewer's imagination and thought into taking an active part in the cinematic text, which I believe is a mark of a good feature, is completely absent. On the contrary: watching the movie I felt, at times, as being force-fed again and again with the same already chewed-up and way-too-obvious content. It is, indeed, as director Gitai himself put it in an interview, an architectural ""shifting objects in space"", and then coloring the scenes with the appropriate emotions when called for and advancing the plot on its appropriate and predictable track; but the spark, that creative, duende-like dark, inarticulable spark (let's not forget ""Kadosh"" is supposedly a tragedy), that which casts on a two-dimensional screen the spell which turns it into an extension of the viewers world, is missing without a trace. Perhaps a work of a visual-engineer, perhaps of an unsophisticated ideologue; definitely not of a true filmmaker. What I saw was a passion-play for animated issues rather than flesh-blood-and-complexities real people. The acting, by and large, failed to transcend this directorial flatness of an idea forced (at times even tortured) into film. One notable, though relatively minor, exception was that of the mikve-lady and the mother, both played by the excellent and seasoned Lea Koenig.<br /><br />It takes more than strict adherence to a winning formula (namely, a serving of exotica, plus heart wrenching yet simple melodrama, plus a popular agenda, preferably politically correct) to tantalize my interest buds. The bottom line here, all being said, is that for a considerable portion of the movie I was simply bored. In spite of the novel, perhaps even pioneering achievement of using an ultra-orthodox neighborhood as a movie set, for which Mr. Gitai and his crew deserve all praise, I found ""Kadosh"" way too Nadosh (Hebrew for ""trite"").",Negative,Negative,negative,negative,"This review is overwhelmingly negative, with the reviewer expressing disappointment and frustration with the film ""Kadosh"". The reviewer criticizes the film's attempt to blend documentary and fiction, arguing that it fails to deliver on both fronts. The documentary aspects are deemed inaccurate and lacking in insight, while the fictional elements are panned for their flat characters, simplistic plot, and heavy-handed message. The reviewer also takes issue with the film's lack of subtlety, feeling that it force-feeds the audience with obvious and simplistic content.

The reviewer's tone is scathing, with phrases like ""clumsily falls in between the chairs"", ""sloppy handling of detail"", ""tedious rote-style presentation"", and ""flatness of character"" conveying a strong sense of disappointment and frustration. The reviewer also makes sarcastic remarks, such as comparing the film's portrayal of sex to a cartoon and calling the director a ""visual-engineer"" or ""unsophisticated ideologue"" rather than a true filmmaker. The only positive comment is a brief mention of the excellent performance of Lea Koenig.

The reviewer's conclusion is that the film is boring and lacks depth, with the novel setting of an ultra-orthodox neighborhood being the only redeeming feature. The final sentence, ""I found 'Kadosh' way too Nadosh (Hebrew for 'trite')"", drives home the reviewer's negative assessment of the film.

Answer: Negative"
6051,"As a writer and a lapsed Orthodox Jewish woman, I was let down tremendously by this movie. The dialogue is hackneyed and wasteful, the characters, too engaged with lines ranging from the wrackingly prosaic to the stunningly melodramatic, aren't allowed to expand into genuinely textured individuals. The one-trick musical score tries to make up for the blandness, swooping portentously into the silence to jar the viewer and the script out of protracted catatonia.<br /><br />Like an adolescent revolutionary on a self-righteous tirade, this film is blown away by the wisdom of its revelation--patriarchy is wrong--and thoroughly squanders its energies, hammering on this point. The resultant artistic crime is a complete lack of imaginative development; the moral crime is the reduction of human beings to caricatures: martyrs and grotesques.",Negative,Negative,negative,negative,"This review is a scathing critique of the film, written from the perspective of a lapsed Orthodox Jewish woman who was deeply disappointed by the movie. The reviewer's primary complaint is that the dialogue is clichéd and unoriginal, and the characters are underdeveloped and lack depth. The score is also criticized for being overly dramatic and trying to compensate for the film's overall blandness. The reviewer argues that the film's message, which appears to be a critique of patriarchy, is presented in a heavy-handed and simplistic way, lacking in nuance and imagination.

The reviewer's tone is one of frustration and disappointment, with a hint of anger at the film's failure to deliver a more thoughtful and sophisticated exploration of its themes. The use of strong language, such as ""hackneyed,"" ""wasteful,"" and ""stunningly melodramatic,"" emphasizes the reviewer's negative assessment of the film. The comparison of the film to an ""adolescent revolutionary"" also implies a sense of immaturity and lack of sophistication.

Overall, the review is extremely negative, with the reviewer expressing a strong sense of disappointment and frustration with the film's failure to deliver a more thoughtful and nuanced exploration of its themes.

Answer: Negative"
6052,"The film is a gross misrepresentation of Orthodox lifestyle and practice. NEVER will a Jewish court enforce a divorce between childless couples. Although the concept exists in Jewish law, the conditions are too numerous for it to actually ever take place. Childless couples do find it difficult to cope with their childlessness in a community where children are a very important part of life, but nowhere are they ""rejected"" by their community as depicted in the film. They are treated with extreme sensitivity. In fact, many great Rabbis have lived their entire lives without children and never considered divorce.<br /><br />The depiction of Yosef, a horrible human being, is meant to - perhaps subconsciously - show the behavior of a typical orthodox male. In reality, it is as typical as a violent drunkard rapist is typical of secular society. Both exist in their own worlds and both are despicable.<br /><br />It is surprising that so many people form their opinions about a society based on a MOVIE (by someone who is personally biased against a community). I have always thought that it is only the Orthodox, because of their narrow-mindedness and insular lifestyle, who judge all secular people based on the violence and immoral conduct they read about in newspapers or see in the movies.",Negative,Negative,negative,negative,"This review is a scathing critique of a film that allegedly misrepresents the Orthodox Jewish community and its practices. The reviewer argues that the film's portrayal of a Jewish court enforcing a divorce between a childless couple is inaccurate and misleading, as such a scenario is highly unlikely in reality. Furthermore, the reviewer disputes the film's depiction of childless couples being rejected by their community, stating that they are instead treated with sensitivity and compassion. The reviewer also takes issue with the characterization of Yosef, labeling him as a ""horrible human being"" and arguing that he is not representative of typical Orthodox males.

The reviewer's tone is one of indignation and frustration, as they feel that the film perpetuates negative stereotypes and biases against the Orthodox community. They express surprise that people would form opinions about a community based on a biased and inaccurate film, rather than seeking out more informed and nuanced understanding.

Answer: Negative"
6053,"My mother told me not to go to see ""Kadosh"" -- but who ever listens to one's mother? <br /><br />I was so turned off by it while I was watching I thought I must have lost my feminist credentials on the way into the theater, so I checked with card-carrying feminists the next day. No, they also thought it was much more an anti-Orthodox screed than a pro-feminist statement, painting the Orthodox as equal to the Taliban.<br /><br />While this Israeli movie is careful to show that the sect the story is about is the ultimate ultra-Orthodox Messianists, it is so nasty as to be unbelievable (plus that the non-fanatic Orthodox rock-'n'-roller(!) one of the sisters is in love with is incredibly sexy--even in Israel that must be fantasy).<br /><br />The theater was quite crowded, so there's a pent-up curiosity to see Israeli movies; too bad this vicious movie is the one getting wide distribution. This was almost enough to drive me back to insipid Hollywood romantic movies. <br /><br />(originally written 4/29/2000)",Negative,Negative,negative,negative,"This review is decidedly negative, with the reviewer expressing strong disappointment and frustration with the film ""Kadosh"". The reviewer's mother had warned them against watching the film, and in hindsight, they wish they had listened. The reviewer felt that the film was more of an ""anti-Orthodox screed"" than a pro-feminist statement, and that it unfairly portrayed the Orthodox community in a negative light, likening them to the Taliban. The reviewer also found the film's portrayal of the ultra-Orthodox sect to be unbelievable and nasty.

The reviewer's tone is critical and sarcastic, with a hint of irony and frustration. They express surprise that the film received wide distribution, implying that it didn't deserve it. The reviewer even goes so far as to say that the experience was enough to drive them back to watching ""insipid Hollywood romantic movies"", implying that anything would be better than this film.

Answer: Negative"
6054,"I don't know what Chasidik movement was this film about?I saw this film a year ago.I am an Orthodox woman, living in an Orthodox Chasidic? community And I can tell you I was offended by this movie!It's so far away from the reality, it's scary ! The director could at least hire a Chasidik Rabbi for a brief consultation, before making a ""Realistic"" movie about ultra -orthodoxs! For example Meir's Davening (Morning Prayers)! Or a Jewish wedding, or a Mikveh ( ritual bath ) customs.<br /><br />Movie is loaded with technical inaccuracies..but it's not them that bothered me. It's the spiritual side. Orthodoxs are portrayed next to Taliban. Woman are powerless, while men are the ultimate rulers ! Please!No one can force a Jewish girl to the Chuppa against her will ! We ,Orthodoxs,also, live by the law (Halacha ) which clearly states man's responsibilities towards his wife.No beating and no raping,also!And no man ( even Rabbi)is allowed to peak at the woman in the Mikveh.And Balanit is not to place a hand over woman's head,while she's taking a ritual bath, the idea is to immerse the whole body at one time! Director was clearly trying to bash Ultra Orthodoxs ! But could he do so at least in a nice and more educated manner?<br /><br />Love story? Cute ! But not credible.Dialogs are long and boring.The ending sucked totally.For all that drama I was at least hoping for a nice ending ,for all that sitting I felt I deserved it! Obviously someone was trying to make a nice consciousness soothing movie for less observant Jews, or for Non- Jews, perhaps..(look at those Fundamentalist, they are so evil and mean...)and they succeed! Long thing short: Was hoping for a nice Europien (Kane level ) movie, got instead a tradition bashing, unrealistic,mistakenly guiding junk. I mean , today,we live in a time of a free will as never before. Everyone has a right to choose. Malka chose a rock singer.Rivka made her choice.Meir made his. Many people from non observing backgrounds are choosing Orthodox Judaism these days.Because,in this mad world Religion might be a nice gateway !",Negative,Negative,negative,negative,"This review is overwhelmingly negative, with the reviewer, an Orthodox woman, expressing strong disappointment and offense towards the film's portrayal of the Chasidic community. The reviewer's main concerns are the numerous technical inaccuracies and the film's misrepresentation of Orthodox Judaism, particularly in its depiction of women's roles and the treatment of women. The reviewer argues that the film perpetuates negative stereotypes, portraying Orthodox men as oppressive and women as powerless, which is far from the reality of their community.

The reviewer also criticizes the film's lack of authenticity, citing examples such as incorrect prayer customs, wedding rituals, and mikveh practices. The reviewer feels that the director's failure to consult with a Chasidic Rabbi or conduct proper research led to a distorted and misleading representation of their community. The reviewer's frustration is palpable, as they feel that the film's inaccuracies and biases undermine the beauty and complexity of Orthodox Judaism.

The reviewer's tone is critical and disapproving, with a sense of disappointment and disillusionment. They express frustration that the film's portrayal of Orthodox Judaism is not only inaccurate but also perpetuates negative stereotypes, which could be harmful to the community. The reviewer's conclusion is that the film is ""tradition bashing, unrealistic, and mistakenly guiding junk,"" indicating a strong negative opinion.

Answer: Negative"
6055,"The movie opens with a scene that simply could not be. A man wakes up and while his wife remains in bed, he begin his morning prayers in his bedroom while his wife sleeps peacefully. Morning blessings are recited, but only the ones Gitai finds controversial. the rest are conveniently omitted. then while in philactories and a tallis he kisses his wife good morning!! This is not an accurate depiction of jewish prayer in any home, let alone a chassidic home. Amos Gittai is not interested in accurately portraying chassidic life. He is interested in adding to his ever growing list of melodramatic and empty films. The mikka (ritual bath) scenes are far from accurate and his jewish wedding was laughable as it does not even approach the atmosphere of a chassidic wedding. I have many problems with the chassidic way of life, but i have no use for Amos Gittai's commentary on these issues. He would have you think that the chassidim are all dense comformists with severe bouts of depression. I may not agree with the chassidic lifestyle, but i acknowledge that chassidic life has many layers. Amos Gitai is blinded by his own secularist pseudo-intellectual stubborness and is therefore, incapable of portraying an accurate depiciton of chassidic life. Aside from his poor research and unbalanced portrayal of chassidic life, Gitai fails in other aspects as well. The plot is full of holes, the dialogue loaded with silence, the soundtrack is too repetitive and the acting while at times powerfull was too often loaded with melodrama. The movie drags on and on and the ending is not worth sticking around for. watch if you must, but be warned. If you want to learn about chassidic life go to the communities and talk to chassidim. Do not rely on Gittai's film!",Negative,Negative,negative,negative,"This review is overwhelmingly negative, with the reviewer expressing strong disappointment and frustration with Amos Gitai's film. The reviewer, who appears to have some familiarity with Chassidic life, is critical of the film's inaccurate depiction of Jewish prayer, rituals, and traditions. The reviewer argues that Gitai is more interested in promoting his own biases and stereotypes about Chassidic life rather than providing an accurate portrayal. The reviewer takes issue with the film's melodramatic and empty storytelling, poor research, and unbalanced portrayal of Chassidic life.

The reviewer also criticizes the film's technical aspects, such as the plot, dialogue, soundtrack, and acting, which are described as flawed and melodramatic. The reviewer's tone is one of warning, advising readers to avoid the film and instead seek out authentic experiences and interactions with Chassidic communities to gain a genuine understanding of their way of life.

Answer: Negative"
6056,"<br /><br />This movie is best enjoyed amidst a large audience with the giggle-fits.<br /><br />Very frequently the characters in KADOSH are seen staring ahead intensely at nothing. Very intense unhappy faces, very pensive, very serious. During these moments there is very serious sounding music just to make doublely sure the viewer realizes that the scene being watched is not about fun and games.<br /><br />The more entertaining portions of this film come in between the many pensive stares. We learn that the women of the KADOSH community have two duties. One is to breed as many male babies as possible for their husbands. The second is to stay employed so to free their husbands from having to work. What do these men do with their ample free time? They pray. And we learn that at home they pray out loud, ""I give you thanks for not creating me as a woman."" And at their place of worship they pray to give thanks for possessing functioning male genitalia.<br /><br />Along with the praying there are many scenes of frenzied antics, screaming, and endless head bobbing and bodies rocking back and fourth, and mixed in with everything are many intricate and bizarre (or simple but just as odd) ritualistic activities.<br /><br />The cream of the unintentional comedy comes from the sex. The imagery of an hot and bothered man actively exchanging body fluids with his wife in bed while attempting to keep his beanie from falling off his scalp is unforgettable!<br /><br />Every sex scene is funny, but one that stands out is when a husband rubs his face against his beautiful wife's (Yaël Abecassis) feet. Oh yes, we are finally entering the land of sensuality... but NO! The feet rubbing stops before anything happens and the husband begins his autistic looking head bobbing and body rocking until the scene ends!<br /><br />There are three attractive females in near states of undress, however KADOSH contains absolutely no nudity. Technically, there is some interesting imagery and pleasing uses of light and colors by the director.<br /><br />For a more believable, educational and entertaining treatment of the plight of being an unclean female unworthy of holding a book in a world where respect is measured by the speed by which a man can cite a phrase from ancient writings, I suggest Barbra Streisand's YENTL.<br /><br />",Negative,Positive,positive,positive,"This review is written in a sarcastic and humorous tone, with the reviewer poking fun at the film's serious and pensive moments, as well as its depiction of religious rituals and sexual encounters. The reviewer describes the characters' intense stares, serious music, and pensive faces, implying that the film takes itself too seriously. The reviewer also mocks the film's portrayal of the women's roles in the KADOSH community, highlighting their limited duties and the men's prayers of gratitude for not being women.

The review is filled with irony and sarcasm, with the reviewer finding unintentional humor in the film's attempts at drama and romance. The sex scenes, in particular, are ridiculed for their awkwardness and lack of sensuality. The reviewer's tone is playful and tongue-in-cheek, suggesting that the film is best enjoyed in a large audience where the absurdity of the scenes can be collectively laughed at.

The only positive comment made is about the film's visuals, with the reviewer acknowledging the director's use of light and color. However, this is quickly overshadowed by the reviewer's overall negative assessment of the film, with a final recommendation to watch Barbra Streisand's YENTL instead.

Answer: Negative"
6057,"It is apparent that director, writers and everyone else knows nothing about their own religion or the people who practice it. This movie is endlessly flawed and overall a complete crock.<br /><br />For instance, there is a scene where the rabbi enters the woman's ritual bath while a naked woman is bathing, puts his hand on the head of a woman there and blesses her. This is complete mockery of the laws, in this scene alone some of the laws broken include: Modesty, a rabbi would never enter a ritual bath house while there are woman in it.<br /><br />Improper contact, a rabbi would never put his hand on a woman's head, not to mention that it is not the way a blessing is given.<br /><br />The woman from the ritual bath is dunking a naked woman by pushing her head under the water, the laws regarding ritual bathing require the entire body to make direct contact with the bath water; this means nobody should be in contact with the person bathing, certainly not pushing them under!<br /><br />There was more just in that scene alone, like dunking 13 times (where does that concept even come from?) not to mention the rest of the movie was a total fallacy. It is scary what ignorance can concoct!",Negative,Negative,negative,negative,"This review is extremely critical and dismissive of the movie, citing numerous inaccuracies and misrepresentations of religious practices. The reviewer, who appears to be familiar with the customs and laws of the religion depicted in the film, points out several specific scenes that they claim are flawed and disrespectful. They argue that the filmmakers demonstrate a profound ignorance of the religion and its practices, leading to a mockery of the laws and customs.

The reviewer's tone is one of outrage and frustration, with phrases like ""complete crock"" and ""scary what ignorance can concoct"" conveying a strong sense of disappointment and disillusionment. The level of detail in which the reviewer critiques the film, highlighting specific scenes and laws that are allegedly broken, suggests a deep understanding of the subject matter and a strong emotional investment in the accuracy of the representation.

Given the reviewer's scathing criticism and apparent expertise in the subject matter, it is clear that the review is overwhelmingly negative.

Answer: Negative"
6058,"And again, Columbia Pictures decides to merely make ""hash"" using the original version with Curly and without any of the gags or jokes to boot! Toward the end of this pitiful flick when Joe gets stuck riding the bull, the studio didn't even make much of an effort to re-record the sound for if you listen carefully you can still here Curly going ""Woo woo woo woo"". Also, when Moe and Larry throw the darts in order to ""slow the bull down so he can get off"", that's lifted right from the original because you can actually see Moe and Larry ""magically"" appear 15 years younger. Why oh why did Moe allow all this to happen? It's a burning question that probably can never be answered because as far as I know, in real life he was quite sensitive to any type of criticism and had rather high standards for his work, as also did Larry, Curly and Shemp. Don't waste your time on this one.",Negative,Negative,negative,negative,"This review is extremely negative, expressing disappointment and frustration with Columbia Pictures' handling of a Three Stooges film. The reviewer is upset that the studio reused footage from an original version featuring Curly, but removed the humor and jokes, resulting in a subpar film. The reviewer points out specific examples of laziness, such as the lack of effort to re-record sound effects, allowing Curly's original ""Woo woo woo"" to be audible, and the reuse of scenes from the original film, including a scene where Moe and Larry appear 15 years younger. The reviewer questions why Moe, who was known for his high standards, allowed this to happen.

The tone of the review is scathing, with the reviewer advising readers to avoid wasting their time on this film. The language used is critical and disapproving, with phrases like ""pitiful flick"" and ""didn't even make much of an effort."" The reviewer's passion and frustration are evident throughout the review, making it clear that they have no praise for this film.

Answer: Negative"
6059,"This short subject is a remake of the Three Stooges' 1942 film ""What's the Matador?"", about the boys' trip to Mexico and their bullfighting adventures. Although the original short was made during the Stooges' peak period, it isn't that memorable and I believe it is one of the more mediocre films with Curly Howard.<br /><br />Having established that, I believe that ""Sappy Bullfighters"" is just pathetically awful, like all the other shorts with Joe Besser. Moe and Larry never should have hired Besser, because his whiny, almost feminine character was completely wrong for the violent comedy of the Stooges. His 16 films with Moe and Larry marked the nadir for the team, and those shorts are embarrassing to watch. This short was released in 1959 and was the team's swan song with Columbia. Maybe Besser was a nice guy, but he was all wrong as the third stooge.<br /><br />I won't review any more Besser shorts, because I would just be giving the same scathingly negative review over and over. Do yourself a big favor and don't watch this. Instead, try to catch ""In the Sweet Pie and Pie"" or ""Hoi Polloi"".",Negative,Negative,negative,negative,"This review is extremely negative, expressing strong disappointment and frustration with the short film ""Sappy Bullfighters"" and, more broadly, the entire series of films featuring Joe Besser as the third Stooge. The reviewer sets the tone by stating that the original 1942 film ""What's the Matador?"" is mediocre, but then proceeds to lambast the remake, calling it ""pathetically awful."" The primary criticism is directed at Joe Besser, whose character is deemed unsuitable for the Stooges' brand of violent comedy. The reviewer's disdain for Besser's performances is palpable, labeling his 16 films with Moe and Larry as the ""nadir"" of the team and ""embarrassing to watch.""

The reviewer's advice to avoid watching ""Sappy Bullfighters"" and instead opt for other, presumably better, Stooges shorts reinforces the negative sentiment. The tone is scathing, with no redeeming qualities mentioned about the film. The reviewer's reluctance to review more Besser shorts, fearing repetition of the same negative assessment, further underscores the strength of their disapproval.

Answer: Negative"
6060,"The Three Stooges are arguably the greatest comedy team in film history. For that reason alone, they deserved a much better ending at Columbia than they received with this short.<br /><br />""Sappy Bullfighters"" is just not good. Granted, this is not all Joe Besser's fault. I personally feel that some of his shorts are fun enough, simply because of the departure from the Stooges usual fanfare that they contain, and for the fact that Larry is sometimes showcased more. However, this short just will not do. And the fact that one knows that it is their last short that was ever shown, well that just adds to the overall disgust.<br /><br />This film just epitomizes how short subjects were on their last dying breaths during this time and how little effort went into making them. This short is so sloppy. It is a simple re-make of a Curly short, ""What's the Matador?"", filmed years before. As if this fact wasn't bad enough, the studio actually threw in footage of Moe and Larry from the original (which was filmed nearly 20 years prior). Are these things not obvious? Laughable or sad? You be the judge.<br /><br />Another part of this short that makes it miserable is the fact that it is basically a Joe Besser showcase, with him showing that all he is (at least in this film) is a Curly-wanna-be-gone-completely-wrong! Moe and Larry have little to do in this short. As a Larry fan, I also must say that I feel it a bit disgraceful to have Besser get to use the joke that Larry originally popularized in the short ""Ants In The Pantry"". To see Besser say ""I can't see, I can't see!"" and have Larry say the simple ""Why can't you see?"", while Besser gets to quip ""I got my eyes closed"", is just wrong on all levels.<br /><br />The two brave soldiers who stuck it out for all those years, Howard and Fine, have so little to do in this short. There are hardly any funny bits with them. The only thing that qualifies is Larry hiding under the bed of a jealous husband, attempting to be ""Pepe"", his dog.<br /><br />One can't blame the dynamic duo. Larry and Moe give it their all. No matter how ridiculous things could get (and I'm sure they had their opinions by this point in their careers) Howard and Fine never gave anything less than their best. Their efforts do not pale from 1934-1959.<br /><br />I often enjoy many shorts that some will dismiss as horrible. I'm all for their more ""experimental"", unusual shorts. At least those contain new ideas. However, this short, I think everyone can agree, is just not good.<br /><br />Thank goodness TV later discovered the boys after the shorts department closed. Had they been forced to go out in THIS fashion, well that would have been a gross injustice to all the years they invested in making audiences laugh.",Negative,Negative,negative,negative,"This review is overwhelmingly negative, expressing disappointment and frustration with the final short film featuring the Three Stooges, ""Sappy Bullfighters"". The reviewer believes that the Stooges deserved a better ending to their film career, but instead, they were given a subpar film that lacks effort and creativity. The reviewer criticizes the short for being a lazy remake of an earlier Curly short, ""What's the Matador?"", with the added insult of reusing footage from the original film. The reviewer also feels that Joe Besser, who joined the Stooges later in their career, is given too much screen time and attention, while Moe and Larry are relegated to minor roles.

The reviewer is particularly upset that Besser is given a joke that was originally popularized by Larry, and that the short lacks any truly funny moments. The reviewer praises Moe and Larry for giving their best efforts, despite the poor quality of the film. The reviewer concludes that ""Sappy Bullfighters"" is a disappointing and lackluster ending to the Stooges' film career, and that it's fortunate that they were later rediscovered on TV.

Answer: Negative"
